timestamp,ref_q_1,cmd_tau_1,state_q_1,state_tau_est_1,ref_q_2,cmd_tau_2,state_q_2,state_tau_est_2
0.5426,1.4729,,,,-2.6325,,,
0.5446,1.4729,,,,-2.6325,,,
0.5452,1.4729,,,,-2.6325,,,
0.5459,1.4729,,,,-2.6325,,,
0.5478,1.4729,,,,-2.6325,,,
0.5484,1.4729,,,,-2.6325,,,
0.5493,1.4729,,,,-2.6325,,,
0.5496,1.4729,,,,-2.6325,,,
0.5507,1.4729,,,,-2.6325,,,
0.5516,1.4729,,,,-2.6325,,,
0.5533,1.4729,,,,-2.6325,,,
0.5544,1.4729,,,,-2.6325,,,
0.5549,1.4729,,,,-2.6325,,,
0.5556,1.4729,,,,-2.6325,,,
0.5571,1.4729,,,,-2.6325,,,
0.5577,1.4729,,,,-2.6325,,,
0.5587,1.4729,,,,-2.6325,,,
0.5595,1.4729,,,,-2.6325,,,
0.5612,1.4729,,,,-2.6325,,,
0.564,1.4729,,,,-2.6325,,,
0.566,1.4729,,,,-2.6325,,,
0.5671,1.473,,,,-2.6325,,,
0.5681,1.473,,,,-2.6325,,,
0.5691,1.473,,,,-2.6325,,,
0.5696,1.473,,,,-2.6325,,,
0.5723,1.473,,,,-2.6325,,,
0.5753,1.473,,,,-2.6325,,,
0.5753,1.473,,,,-2.6325,,,
0.5753,1.473,,,,-2.6325,,,
0.5757,1.473,,,,-2.6325,,,
0.5778,1.473,,,,-2.6325,,,
0.5791,1.473,,,,-2.6325,,,
0.5801,1.473,,,,-2.6325,,,
0.582,1.473,,,,-2.6325,,,
0.582,1.473,,,,-2.6325,,,
0.5826,1.473,,,,-2.6325,,,
0.5847,1.473,,,,-2.6326,,,
0.5856,1.473,,,,-2.6326,,,
0.5858,1.473,,,,-2.6326,,,
0.5865,1.473,,,,-2.6326,,,
0.5876,1.473,,,,-2.6326,,,
0.5887,1.473,,,,-2.6326,,,
0.5901,1.473,,,,-2.6326,,,
0.5911,1.473,,,,-2.6326,,,
0.5915,1.473,,,,-2.6326,,,
0.5928,1.473,,,,-2.6326,,,
0.5934,1.473,,,,-2.6326,,,
0.5946,1.473,,,,-2.6326,,,
0.5958,1.4731,,,,-2.6326,,,
0.5973,1.4731,,,,-2.6326,,,
0.598,1.4731,,,,-2.6326,,,
0.5986,1.4731,,,,-2.6326,,,
0.6002,1.4731,,,,-2.6326,,,
0.6007,1.4731,,,,-2.6326,,,
0.6015,1.4731,,,,-2.6326,,,
0.6026,1.4731,,,,-2.6326,,,
0.6041,1.4731,,,,-2.6326,,,
0.6045,1.4731,,,,-2.6326,,,
0.6061,1.4731,,,,-2.6326,,,
0.6066,1.4731,,,,-2.6326,,,
0.6078,1.4731,,,,-2.6326,,,
0.609,1.4731,,,,-2.6326,,,
0.6101,1.4731,,,,-2.6326,,,
0.6105,1.4731,,,,-2.6326,,,
0.612,1.4731,,,,-2.6326,,,
0.6126,1.4731,,,,-2.6326,,,
0.6138,1.4731,,,,-2.6326,,,
0.6147,1.4731,,,,-2.6326,,,
0.616,1.4731,,,,-2.6326,,,
0.6177,1.4731,,,,-2.6326,,,
0.6177,1.4731,,,,-2.6326,,,
0.6189,1.4731,,,,-2.6326,,,
0.6206,1.4731,,,,-2.6326,,,
0.6215,1.4731,,,,-2.6326,,,
0.6216,1.4731,,,,-2.6326,,,
0.6224,1.4732,,,,-2.6326,,,
0.6235,1.4732,,,,-2.6326,,,
0.6247,1.4732,,,,-2.6327,,,
0.6259,1.4732,,,,-2.6327,,,
0.6274,1.4732,,,,-2.6327,,,
0.6288,1.4732,,,,-2.6327,,,
0.6297,1.4732,,,,-2.6327,,,
0.6311,1.4732,,,,-2.6327,,,
0.6322,1.4732,,,,-2.6327,,,
0.6331,1.4732,,,,-2.6327,,,
0.6339,1.4732,,,,-2.6327,,,
0.6347,1.4732,,,,-2.6327,,,
0.6355,1.4732,,,,-2.6327,,,
0.6376,1.4732,,,,-2.6327,,,
0.6385,1.4732,,,,-2.6327,,,
0.6395,1.4732,,,,-2.6327,,,
0.6416,1.4732,,,,-2.6327,,,
0.6422,1.4732,,,,-2.6327,,,
0.643,1.4732,,,,-2.6327,,,
0.6438,1.4732,,,,-2.6327,,,
0.6448,1.4732,,,,-2.6327,,,
0.6455,1.4732,,,,-2.6327,,,
0.6466,1.4732,,,,-2.6327,,,
0.6481,1.4732,,,,-2.6327,,,
0.6491,1.4732,,,,-2.6327,,,
0.6495,1.4732,,,,-2.6327,,,
0.6507,1.4732,,,,-2.6327,,,
0.6523,1.4733,,,,-2.6327,,,
0.6527,1.4733,,,,-2.6327,,,
0.6535,1.4733,,,,-2.6327,,,
0.6545,1.4733,,,,-2.6327,,,
0.6555,1.4733,,,,-2.6327,,,
0.6566,1.4733,,,,-2.6327,,,
0.6584,1.4733,,,,-2.6327,,,
0.6595,1.4733,,,,-2.6327,,,
0.6597,1.4733,,,,-2.6327,,,
0.6605,1.4733,,,,-2.6327,,,
0.6621,1.4733,,,,-2.6327,,,
0.6626,1.4733,,,,-2.6327,,,
0.6648,1.4733,,,,-2.6327,,,
0.6662,1.4733,,,,-2.6327,,,
0.6672,1.4733,,,,-2.6327,,,
0.6677,1.4733,,,,-2.6327,,,
0.6692,1.4733,,,,-2.6327,,,
0.6704,1.4733,,,,-2.6328,,,
0.6709,1.4733,,,,-2.6328,,,
0.6718,1.4733,,,,-2.6328,,,
0.6732,1.4733,,,,-2.6328,,,
0.6738,1.4733,,,,-2.6328,,,
0.6749,1.4733,,,,-2.6328,,,
0.6769,1.4733,,,,-2.6328,,,
0.678,1.4733,,,,-2.6328,,,
0.6792,1.4733,,,,-2.6328,,,
0.6799,1.4733,,,,-2.6328,,,
0.6807,1.4734,,,,-2.6328,,,
0.6821,1.4734,,,,-2.6328,,,
0.6828,1.4734,,,,-2.6328,,,
0.6839,1.4734,,,,-2.6328,,,
0.6845,1.4734,,,,-2.6328,,,
0.6854,1.4734,,,,-2.6328,,,
0.6868,1.4734,,,,-2.6328,,,
0.6878,1.4734,,,,-2.6328,,,
0.6886,1.4734,,,,-2.6328,,,
0.6896,1.4734,,,,-2.6328,,,
0.6911,1.4734,,,,-2.6328,,,
0.6919,1.4734,,,,-2.6328,,,
0.6925,1.4734,,,,-2.6328,,,
0.6935,1.4734,,,,-2.6328,,,
